_id,segment_id,date,weekday,LOS,s_node_id,e_node_id,length,street_id,street_level,street_type,long_node,lat_node,time_x,month,temperature_2m,relative_humidity_2m,apparent_temperature,rain,weather_code,cloud_cover,season
242,2085,8/3/2020,0,C,366448103,4932516665,2,32577244,4,tertiary,106.6535497,10.7644648,0:00,8,25.5,93,29.9,0.4,51,31,rain
244,2086,8/3/2020,0,D,366448103,366429352,23,32577244,4,tertiary,106.6535497,10.7644648,0:00,8,25.5,93,29.9,0.4,51,31,rain
246,2087,8/3/2020,0,E,366429352,366448103,23,32577244,4,tertiary,106.6533662,10.7643527,0:00,8,25.5,93,29.9,0.4,51,31,rain
248,2088,8/3/2020,0,D,366429352,4924631882,25,32577244,4,tertiary,106.6533662,10.7643527,0:00,8,25.5,93,29.9,0.4,51,31,rain
250,2089,8/3/2020,0,E,4924631882,366429352,25,32577244,4,tertiary,106.6531594,10.7642379,0:00,8,25.5,93,29.9,0.4,51,31,rain
252,2090,8/3/2020,0,C,4924631882,366426405,16,32577244,4,tertiary,106.6531594,10.7642379,0:00,8,25.5,93,29.9,0.4,51,31,rain
254,2091,8/3/2020,0,D,366426405,4924631882,16,32577244,4,tertiary,106.65303,10.7641661,0:00,8,25.5,93,29.9,0.4,51,31,rain
256,2092,8/3/2020,0,C,366426405,4924631894,13,32577244,4,tertiary,106.65303,10.7641661,0:00,8,25.5,93,29.9,0.4,51,31,rain
258,2093,8/3/2020,0,D,4924631894,366426405,13,32577244,4,tertiary,106.6529296,10.7640903,0:00,8,25.5,93,29.9,0.4,51,31,rain
260,2094,8/3/2020,0,D,4924631894,366424295,10,32577244,4,tertiary,106.6529296,10.7640903,0:00,8,25.5,93,29.9,0.4,51,31,rain
262,2095,8/3/2020,0,D,366424295,4924631894,10,32577244,4,tertiary,106.6528565,10.7640351,0:00,8,25.5,93,29.9,0.4,51,31,rain
264,2096,8/3/2020,0,D,366424295,366457256,24,32577244,4,tertiary,106.6528565,10.7640351,0:00,8,25.5,93,29.9,0.4,51,31,rain
266,2097,8/3/2020,0,D,366457256,366424295,24,32577244,4,tertiary,106.6526853,10.7638863,0:00,8,25.5,93,29.9,0.4,51,31,rain
268,2098,8/3/2020,0,C,366457256,366371762,14,32577244,4,tertiary,106.6526853,10.7638863,0:00,8,25.5,93,29.9,0.4,51,31,rain
270,2099,8/3/2020,0,D,366371762,366457256,14,32577244,4,tertiary,106.6526094,10.7637745,0:00,8,25.5,93,29.9,0.4,51,31,rain
272,2100,8/3/2020,0,E,366371762,4924631875,19,32577244,4,tertiary,106.6526094,10.7637745,0:00,8,25.5,93,29.9,0.4,51,31,rain
274,2101,8/3/2020,0,D,4924631875,366371762,19,32577244,4,tertiary,106.6525266,10.7636236,0:00,8,25.5,93,29.9,0.4,51,31,rain
276,2102,8/3/2020,0,E,4924631875,366374703,20,32577244,4,tertiary,106.6525266,10.7636236,0:00,8,25.5,93,29.9,0.4,51,31,rain
278,2103,8/3/2020,0,D,366374703,4924631875,20,32577244,4,tertiary,106.6524361,10.7634588,0:00,8,25.5,93,29.9,0.4,51,31,rain
280,2104,8/3/2020,0,D,366374703,366428610,8,32577244,4,tertiary,106.6524361,10.7634588,0:00,8,25.5,93,29.9,0.4,51,31,rain
282,2105,8/3/2020,0,D,366428610,366374703,8,32577244,4,tertiary,106.6524141,10.7633819,0:00,8,25.5,93,29.9,0.4,51,31,rain
284,2106,8/3/2020,0,D,366428610,4537174049,16,32577244,4,tertiary,106.6524141,10.7633819,0:00,8,25.5,93,29.9,0.4,51,31,rain
286,2107,8/3/2020,0,E,4537174049,366428610,16,32577244,4,tertiary,106.6523624,10.763238,0:00,8,25.5,93,29.9,0.4,51,31,rain
288,2108,8/3/2020,0,C,4537174049,366439980,19,32577244,4,tertiary,106.6523624,10.763238,0:00,8,25.5,93,29.9,0.4,51,31,rain
290,2109,8/3/2020,0,E,366439980,4537174049,19,32577244,4,tertiary,106.6523108,10.7630742,0:00,8,25.5,93,29.9,0.4,51,31,rain
292,2110,8/3/2020,0,C,366439980,4537174048,24,32577244,4,tertiary,106.6523108,10.7630742,0:00,8,25.5,93,29.9,0.4,51,31,rain
294,2111,8/3/2020,0,D,4537174048,366439980,24,32577244,4,tertiary,106.6522568,10.7628582,0:00,8,25.5,93,29.9,0.4,51,31,rain
296,2112,8/3/2020,0,C,4537174048,366402755,22,32577244,4,tertiary,106.6522568,10.7628582,0:00,8,25.5,93,29.9,0.4,51,31,rain
298,2113,8/3/2020,0,E,366402755,4537174048,22,32577244,4,tertiary,106.6522037,10.7626655,0:00,8,25.5,93,29.9,0.4,51,31,rain
300,2114,8/3/2020,0,D,366402755,4537174047,34,32577244,4,tertiary,106.6522037,10.7626655,0:00,8,25.5,93,29.9,0.4,51,31,rain
302,2115,8/3/2020,0,D,4537174047,366402755,34,32577244,4,tertiary,106.6521869,10.7623556,0:00,8,25.5,93,29.9,0.4,51,31,rain
304,2116,8/3/2020,0,E,4537174047,366370132,34,32577244,4,tertiary,106.6521869,10.7623556,0:00,8,25.5,93,29.9,0.4,51,31,rain
306,2117,8/3/2020,0,D,366370132,4537174047,34,32577244,4,tertiary,106.6522035,10.7620489,0:00,8,25.5,93,29.9,0.4,51,31,rain
308,2118,8/3/2020,0,E,366370132,366467835,48,32577244,4,tertiary,106.6522035,10.7620489,0:00,8,25.5,93,29.9,0.4,51,31,rain
310,2119,8/3/2020,0,D,366467835,366370132,48,32577244,4,tertiary,106.652307,10.7616288,0:00,8,25.5,93,29.9,0.4,51,31,rain
312,2120,8/3/2020,0,C,366467835,366425707,28,32577244,4,tertiary,106.652307,10.7616288,0:00,8,25.5,93,29.9,0.4,51,31,rain
314,2121,8/3/2020,0,D,366425707,366467835,28,32577244,4,tertiary,106.6524012,10.7613911,0:00,8,25.5,93,29.9,0.4,51,31,rain
316,2122,8/3/2020,0,E,366425707,4929793672,4,32577244,4,tertiary,106.6524012,10.7613911,0:00,8,25.5,93,29.9,0.4,51,31,rain
318,2123,8/3/2020,0,D,4929793672,366425707,4,32577244,4,tertiary,106.6524241,10.7613549,0:00,8,25.5,93,29.9,0.4,51,31,rain
320,2124,8/3/2020,0,E,4929793672,366455637,6,32577244,4,tertiary,106.6524241,10.7613549,0:00,8,25.5,93,29.9,0.4,51,31,rain
322,2125,8/3/2020,0,D,366455637,4929793672,6,32577244,4,tertiary,106.6524559,10.7613046,0:00,8,25.5,93,29.9,0.4,51,31,rain
324,2126,8/3/2020,0,D,366455637,4929793668,32,32577244,4,tertiary,106.6524559,10.7613046,0:00,8,25.5,93,29.9,0.4,51,31,rain
326,2127,8/3/2020,0,C,4929793668,366455637,32,32577244,4,tertiary,106.6526317,10.7610669,0:00,8,25.5,93,29.9,0.4,51,31,rain
328,2128,8/3/2020,0,D,4929793668,366409572,13,32577244,4,tertiary,106.6526317,10.7610669,0:00,8,25.5,93,29.9,0.4,51,31,rain
330,2129,8/3/2020,0,E,366409572,4929793668,13,32577244,4,tertiary,106.6527038,10.7609677,0:00,8,25.5,93,29.9,0.4,51,31,rain
332,2130,8/3/2020,0,C,366409572,4927819032,4,32577244,4,tertiary,106.6527038,10.7609677,0:00,8,25.5,93,29.9,0.4,51,31,rain
334,2131,8/3/2020,0,D,4927819032,366409572,4,32577244,4,tertiary,106.6527289,10.7609412,0:00,8,25.5,93,29.9,0.4,51,31,rain
336,2132,8/3/2020,0,E,4927819032,366401937,43,32577244,4,tertiary,106.6527289,10.7609412,0:00,8,25.5,93,29.9,0.4,51,31,rain
338,2133,8/3/2020,0,D,366401937,4927819032,43,32577244,4,tertiary,106.6529986,10.7606564,0:00,8,25.5,93,29.9,0.4,51,31,rain
340,2134,8/3/2020,0,E,366401937,366388860,17,32577244,4,tertiary,106.6529986,10.7606564,0:00,8,25.5,93,29.9,0.4,51,31,rain
342,2135,8/3/2020,0,E,366388860,366401937,17,32577244,4,tertiary,106.6531101,10.7605441,0:00,8,25.5,93,29.9,0.4,51,31,rain
344,2136,8/3/2020,0,E,366388860,4979973933,36,32577244,4,tertiary,106.6531101,10.7605441,0:00,8,25.5,93,29.9,0.4,51,31,rain
346,2137,8/3/2020,0,C,4979973933,366388860,36,32577244,4,tertiary,106.6532907,10.7602645,0:00,8,25.5,93,29.9,0.4,51,31,rain
348,2138,8/3/2020,0,D,4979973933,4979973934,11,32577244,4,tertiary,106.6532907,10.7602645,0:00,8,25.5,93,29.9,0.4,51,31,rain
350,2139,8/3/2020,0,D,4979973934,4979973933,11,32577244,4,tertiary,106.6533333,10.7601739,0:00,8,25.5,93,29.9,0.4,51,31,rain
352,2140,8/3/2020,0,D,2386053882,5797894423,92,32577256,4,tertiary,106.5880278,10.7482734,0:00,8,25.5,93,29.9,0.4,51,31,rain
381,2400,8/3/2020,0,D,5772301804,5772194293,51,32577449,4,unclassified,106.6503541,10.7790549,0:00,8,25.5,93,29.9,0.4,51,31,rain
383,2401,8/3/2020,0,D,5772301804,5772301805,43,32577449,4,unclassified,106.6503541,10.7790549,0:00,8,25.5,93,29.9,0.4,51,31,rain
390,2402,8/3/2020,0,C,5772301805,5772301804,43,32577449,4,unclassified,106.6507544,10.7790253,0:00,8,25.5,93,29.9,0.4,51,31,rain
392,2403,8/3/2020,0,E,5772301805,5772301806,16,32577449,4,unclassified,106.6507544,10.7790253,0:00,8,25.5,93,29.9,0.4,51,31,rain
396,2404,8/3/2020,0,E,5772301806,5772301805,16,32577449,4,unclassified,106.6509083,10.7790397,0:00,8,25.5,93,29.9,0.4,51,31,rain
398,2405,8/3/2020,0,E,5772301806,6015476024,39,32577449,4,unclassified,106.6509083,10.7790397,0:00,8,25.5,93,29.9,0.4,51,31,rain
403,2406,8/3/2020,0,D,6015476024,5772301806,39,32577449,4,unclassified,106.6512475,10.7791707,0:00,8,25.5,93,29.9,0.4,51,31,rain
405,2407,8/3/2020,0,D,6015476024,5772301807,20,32577449,4,unclassified,106.6512475,10.7791707,0:00,8,25.5,93,29.9,0.4,51,31,rain
409,2408,8/3/2020,0,E,5772301807,6015476024,20,32577449,4,unclassified,106.6514137,10.7792478,0:00,8,25.5,93,29.9,0.4,51,31,rain
411,2409,8/3/2020,0,C,5772301807,5772301808,41,32577449,4,unclassified,106.6514137,10.7792478,0:00,8,25.5,93,29.9,0.4,51,31,rain
416,2410,8/3/2020,0,D,5772301808,5772301807,41,32577449,4,unclassified,106.6517707,10.7793795,0:00,8,25.5,93,29.9,0.4,51,31,rain
